tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
"Today I’m bringing together leaders from around the world to meet this moment of climate peril, and extraordinary opportunity. No nation can solve this crisis on its own, and this summit is a step on a path to a secure, prosperous, and sustainable future.",https://twitter.com/POTUS/status/1385202170513997829,"Apr 22, 2021",https://t.co/lcUUsgyEo3,http://t.co/lcUUsgyEo3
"We’re making incredible progress when it comes to beating COVID-19. But in this moment, we can’t just rebuild to the way things were before the pandemic — we have to build back better. 

That’s exactly what the American Jobs Plan does.",https://twitter.com/POTUS/status/1385025558766047234,"Apr 22, 2021",,
"Congratulations to Vanita Gupta on making history as the first woman of color to serve as Associate Attorney General. Now, I urge the Senate to confirm Kristen Clarke. Both are eminently qualified, highly respected lawyers who are dedicated to advancing racial equity and justice.",https://twitter.com/POTUS/status/1385016750417268737,"Apr 21, 2021",,
"Housing is infrastructure. 
Broadband is infrastructure.
Caregiving is infrastructure.
 
@SecFudge sat down to explain:",https://twitter.com/POTUS/status/1385006061678120962,"Apr 21, 2021",https://t.co/bY8TKqcrKG,http://t.co/bY8TKqcrKG
Businesses should know: they can provide paid time off for vaccines without a hit to their bottom line. That’s the American Rescue Plan at work. Go to  to learn more.,https://twitter.com/POTUS/status/1384992882285756416,"Apr 21, 2021",https://t.co/4yb5uVon5x,http://t.co/4yb5uVon5x
"America’s national parks are irreplaceable treasures. They amaze us, inspire us, fill us with pride, and belong to all of us in equal measure. This National Park Week, I want to hear about your favorite memory at one of our national parks. Share by replying to this tweet.",https://twitter.com/POTUS/status/1384970119131041793,"Apr 21, 2021",https://t.co/oI7xXpUCQd,http://t.co/oI7xXpUCQd
"Yesterday, Vice President Harris and I met with leaders of the Congressional Hispanic Caucus in the Oval Office. From achieving vaccine equity to passing immigration reform — we’re committed to working together to make progress on our shared goals and priorities.",https://twitter.com/POTUS/status/1384948805020303360,"Apr 21, 2021",https://t.co/A02iuPhXgO,http://t.co/A02iuPhXgO
I believe everyone who wants a vaccine should be able to get one. Today I announced a tax credit made possible by the American Rescue Plan to help employers offer paid leave to workers getting vaccinated. Go to  to learn more.,https://twitter.com/POTUS/status/1384933772014067718,"Apr 21, 2021",https://t.co/4yb5uVon5x,http://t.co/4yb5uVon5x
My Administration is working around the clock to get America vaccinated as quickly as possible. Tune in as I deliver an update on our progress and the state of vaccinations.,https://twitter.com/POTUS/status/1384925903243948032,"Apr 21, 2021",https://t.co/jxOtlPOzsW,http://t.co/jxOtlPOzsW
"The guilty verdict does not bring back George Floyd. But through the family’s pain, they are finding purpose so George’s legacy will not be just about his death, but about what we must do in his memory.",https://twitter.com/POTUS/status/1384869637628772352,"Apr 21, 2021",https://t.co/swjH0yprjN,http://t.co/swjH0yprjN
