tablescraper-selected-row,linkified,linkified href,tablescraper-selected-row href,grey
The Affordable Care Act has helped 20 million Americans get coverage—and up to 130 million Americans can no longer be denied coverage because of a preexisting condition. It has been a lifeline for Americans who've lost their jobs and their health insurance during the pandemic.,,,https://twitter.com/BarackObama/status/1374421094749278215,"Mar 23, 2021"
"As part of the American Rescue Plan, @POTUS just signed the largest expansion of health care since the Affordable Care Act. It’s an example of how government is supposed to work, and exactly what I hoped would happen when I signed the ACA into law 11 years ago today.",https://t.co/G7WUgYdxOp,http://t.co/G7WUgYdxOp,https://twitter.com/BarackObama/status/1374421092236857359,"Mar 23, 2021"
A once-in-a-century pandemic cannot be the only thing that slows mass shootings in this country. It’s time for leaders everywhere to listen to the American people when they say enough is enough.,https://t.co/7MEJ87Is3E,http://t.co/7MEJ87Is3E,https://twitter.com/BarackObama/status/1374393037619523597,"Mar 23, 2021"
"Join me, @ProtectOurCare, and health care advocates from across the country to discuss 11 years of the Affordable Care Act and the work we still need to do to make sure all Americans have access to quality, affordable health care. Watch now:",https://t.co/Rae2yr8EjZ,http://t.co/Rae2yr8EjZ,https://twitter.com/BarackObama/status/1374046983736987655,"Mar 22, 2021"
"Bruce @Springsteen and I both had complicated relationships with our fathers. In our latest conversation on Renegades: Born in the USA, we discuss our upbringing, masculinity, and the role our fathers played in helping us become the men we are today.",https://t.co/FNriJIUw3r,http://t.co/FNriJIUw3r,https://twitter.com/BarackObama/status/1374022255739551744,"Mar 22, 2021"
"11 years after the Affordable Care Act was passed, it’s getting even better. I’ll be having a conversation with @ProtectOurCare this Monday, March 22 at 1:15 PM ET and hope you’ll join:",https://t.co/SpbyOP81Ky,http://t.co/SpbyOP81Ky,https://twitter.com/BarackObama/status/1372995534240235520,"Mar 19, 2021"
.@POTUS set a goal to deliver 100 million vaccine shots in 100 days. His administration hit the milestone in just 58. Let’s keep it going: Please get the vaccine as soon as it’s available to you. It’s the only way to beat this pandemic.,https://t.co/uYmwRMMmYw,http://t.co/uYmwRMMmYw,https://twitter.com/BarackObama/status/1372956311294513160,"Mar 19, 2021"
"Like many of you, I’m thrilled that #MarchMadness is finally back. You can check out my picks here:",https://t.co/S5mlQofvAp,http://t.co/S5mlQofvAp,https://twitter.com/BarackObama/status/1372533275709820936,"Mar 18, 2021"
"Michelle and I pray for the victims, their families, everyone grieving these needless and devastating killings—and we urge meaningful action that will save lives.",,,https://twitter.com/BarackObama/status/1372191748554952714,"Mar 17, 2021"
Yesterday's shootings are another tragic reminder that we have far more work to do to put in place commonsense gun safety laws and root out the pervasive patterns of hatred and violence in our society.,,,https://twitter.com/BarackObama/status/1372191747464396802,"Mar 17, 2021"
"Even as we’ve battled the pandemic, we’ve continued to neglect the longer-lasting epidemic of gun violence in America. Although the shooter’s motive is not yet clear, the identity of the victims underscores an alarming rise in anti-Asian violence that must end.",,,https://twitter.com/BarackObama/status/1372191746583629827,"Mar 17, 2021"
"Congrats to directors @NicoleNewnham, @JimLeBrecht, and everyone with @CripCampFilm on the Oscar nomination! The heart, passion, and brilliance of those who led the disability rights movement is something to celebrate. Michelle and I hope you'll watch their story on Netflix.",,,https://twitter.com/BarackObama/status/1371568939042537473,"Mar 15, 2021"
I could not be prouder of the @ChiPubSchools students I spoke with recently about A Promised Land. One of the reasons I wrote this book was for young people to be able to see themselves in my story—and I hope our conversation left them as inspired as it left me.,https://t.co/Aov53IvX6l,http://t.co/Aov53IvX6l,https://twitter.com/BarackObama/status/1371525378645266435,"Mar 15, 2021"
"For the latest episode of our podcast, I talk to Bruce @Springsteen about my time as a community organizer and the influences that led to me pursuing a career in public service. Take a listen on Spotify:",https://t.co/pxARdCUpFO,http://t.co/pxARdCUpFO,https://twitter.com/BarackObama/status/1371491529127292930,"Mar 15, 2021"
"When @POTUS was elected, he said help was on the way—and he delivered. The American Rescue Plan is landmark legislation that will ring through generations, lifting up families and beating back this pandemic. 
 
Here's how it will help people like you:",https://t.co/EabnMBoXhy,http://t.co/EabnMBoXhy,https://twitter.com/BarackObama/status/1370472369102422028,"Mar 12, 2021"
