tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
RT @VP: The American Rescue Plan will get the pandemic under control and support struggling communities across our country. People need hel…,https://twitter.com/KamalaHarris/status/1358833875133284353,"Feb 08, 2021",,
"RT @POTUS: For your family, for your neighbors, for your country — wear a mask.",https://twitter.com/KamalaHarris/status/1358538203096088576,"Feb 07, 2021",,
RT @VP: It’s been a busy few weeks. Ready for the next one.,https://twitter.com/KamalaHarris/status/1358162630217789441,"Feb 06, 2021",https://t.co/bMouYVjRr0,http://t.co/bMouYVjRr0
"RT @VP: From software to healthcare, restaurants to manufacturers, Black businesses are small, large, and everything in between. And they a…",https://twitter.com/KamalaHarris/status/1357862859263401985,"Feb 06, 2021",,
"RT @VP: We stand on the shoulders of those who came before. When Rosa Parks refused to give up her seat, she was lifting all of us up. Toda…",https://twitter.com/KamalaHarris/status/1357443261049298946,"Feb 04, 2021",,
RT @POTUS: Extending the moratorium on evictions and foreclosures to help countless Americans keep a roof over their head — that’s the Amer…,https://twitter.com/KamalaHarris/status/1357399467209728000,"Feb 04, 2021",,
"RT @VP: This morning, I swore in Pete Buttigieg as Secretary of Transportation. @SecretaryPete is a true problem-solver. He will bring peop…",https://twitter.com/KamalaHarris/status/1356989141561581570,"Feb 03, 2021",,
"RT @VP: As Black History Month begins today, we remember and honor those who have come before, and we work to build a brighter future for a…",https://twitter.com/KamalaHarris/status/1356331078559158274,"Feb 01, 2021",,
"RT @VP: People are hurting right now. 

The American Rescue Plan gets economic relief to those who need it, and it gets people vaccinated.…",https://twitter.com/KamalaHarris/status/1356007024581107719,"Jan 31, 2021",,
RT @VP: Get vaccinated. Save lives.,https://twitter.com/KamalaHarris/status/1355682883063713793,"Jan 31, 2021",https://t.co/5ZNXerlmIJ,http://t.co/5ZNXerlmIJ
"RT @VP: Today I received my second dose of the COVID-19 vaccine during a visit to @NIH. When it becomes available to you, don’t wait — get…",https://twitter.com/KamalaHarris/status/1354501174133628928,"Jan 27, 2021",,
"RT @VP: This weekend, don’t forget:
 
- Wear a mask
- Stay socially distanced
- Avoid large indoor gatherings
 
Together, we can save lives.",https://twitter.com/KamalaHarris/status/1353173291305865217,"Jan 24, 2021",,
"RT @VP: This week, @POTUS and I quickly got to work to mount an aggressive and coordinated response to combat COVID-19 and get it under con…",https://twitter.com/KamalaHarris/status/1353173265951330304,"Jan 24, 2021",,
RT @VP: Today I met with an inspiring group of small business owners. We know that they have been hit hard in this pandemic. That’s why @PO…,https://twitter.com/KamalaHarris/status/1352797203832557568,"Jan 23, 2021",,
"RT @VP: On the 48th Anniversary of Roe v. Wade, we recommit ourselves to ensuring that everyone has access to care—including reproductive h…",https://twitter.com/KamalaHarris/status/1352797191572660225,"Jan 23, 2021",,
"RT @VP: Today, I spoke by phone with @WHO Director-General Dr. Tedros Adhanom Ghebreyesus. We discussed how the United States will work as…",https://twitter.com/KamalaHarris/status/1352797171699994624,"Jan 23, 2021",,
"RT @VP: Earlier today, I swore in our first Cabinet member, Avril Haines, after her confirmation by the Senate last night. As the Director…",https://twitter.com/KamalaHarris/status/1352449149128511491,"Jan 22, 2021",,
"RT @VP: We’ve hit the ground running. Don’t forget to follow @POTUS, @FLOTUS, @SecondGentleman, and @WhiteHouse for the latest updates from…",https://twitter.com/KamalaHarris/status/1352449134008049666,"Jan 22, 2021",,
"RT @VP: We must believe in ourselves, believe in our country, and believe in what we can do—together.",https://twitter.com/KamalaHarris/status/1352328845785923585,"Jan 21, 2021",https://t.co/C49lUCxw0d,http://t.co/C49lUCxw0d
RT @VP: It's an honor to be your Vice President.,https://twitter.com/KamalaHarris/status/1352002831356633088,"Jan 20, 2021",https://t.co/iM3BxJzz6E,http://t.co/iM3BxJzz6E
"Let’s get to work. 

Follow @VP for updates from the @WhiteHouse as we confront the crises facing our nation and bring the American people back together.",https://twitter.com/KamalaHarris/status/1352002609427562496,"Jan 20, 2021",https://t.co/w7ZlC1LPps,http://t.co/w7ZlC1LPps
For the people—always.,https://twitter.com/KamalaHarris/status/1351927707899211776,"Jan 20, 2021",https://t.co/KW0TS1cnUq,http://t.co/KW0TS1cnUq
